phase,number of devices,number of links,simulation startup duration config real (Seconds),simulation startup duration routing real (Seconds),simulation startup duration real (Seconds),simulation shutdown duration real (Seconds),simulation duration real (Seconds),simulation total duration real (Seconds),simulation startup duration routing virtual (Seconds),simulation duration virtual (Seconds),number of forwarded packages,number of sent packages,network traffic forwarded(Bytes),network traffic total (Bytes),package size aggregated (Bytes),number of devices having 'RoutingFeature',number of devices having 'DatabaseStore',number of devices having 'DatabaseQuery',number of devices having 'Database',number of devices having 'Sensor',package count for 'Database-Ontology-Import',package size for 'Database-Ontology-Import',package size aggregated for 'Database-Ontology-Import',package size self Messages for 'Database-Ontology-Import',package count for 'Database-Graph-Create',package size for 'Database-Graph-Create',package size aggregated for 'Database-Graph-Create',package size self Messages for 'Database-Graph-Create',package count for 'Database-Ontology-Load',package size for 'Database-Ontology-Load',package size aggregated for 'Database-Ontology-Load',package size self Messages for 'Database-Ontology-Load',package count for 'ParkingSample',package size for 'ParkingSample',package size aggregated for 'ParkingSample',package size self Messages for 'ParkingSample',package count for 'SPARQL-Query',package size for 'SPARQL-Query',package size aggregated for 'SPARQL-Query',package size self Messages for 'SPARQL-Query',package count for 'SPARQL-Response',package size for 'SPARQL-Response',package size aggregated for 'SPARQL-Response',package size self Messages for 'SPARQL-Response',package count for 'Database-Graph-Modify',package size for 'Database-Graph-Modify',package size aggregated for 'Database-Graph-Modify',package size self Messages for 'Database-Graph-Modify',package count for 'Database-Dictionary',package size for 'Database-Dictionary',package size aggregated for 'Database-Dictionary',package size self Messages for 'Database-Dictionary',package count for 'Database-Operatorgraph',package size for 'Database-Operatorgraph',package size aggregated for 'Database-Operatorgraph',package size self Messages for 'Database-Operatorgraph',package count for 'Database-Intermadiate-Result',package size for 'Database-Intermadiate-Result',package size aggregated for 'Database-Intermadiate-Result',package size self Messages for 'Database-Intermadiate-Result',data scale,additionalHops,partitioning,distribution algorithm,dynamic operator relocation
Q9,198,2802,6.955e-06,2.16e-06,1.9399999999999996e-06,2.155000000177091e-06,2.386973054,2.386986264,0,0.013245448,3,44,11427,143781,293610,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081,1081,1081,1,393,393,393,0,0,0,0,2,92,92,92,22,45991,45991,0,249,234698,246053,148967,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q10,198,2802,7.955e-06,2.304e-06,1.91e-06,4.932000000015419e-06,3.547202375,3.547219476,0,0.020627528,3,44,18066,215076,467025,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383,1383,1383,1,427,427,427,0,0,0,0,2,92,92,92,22,60228,60228,0,364,386925,404895,250927,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
initialization,198,2802,0.063266503,0.051764241,0.142917242,1.3125000000710485e-05,13.323826786,13.581787897,0,1104.943579216,1720,14794,414745,10813520,11923421,198,16,48,48,150,1,2309,2309,2309,47,66975,142500,0,47,101191,215300,0,750,27000,32940,0,1051,865326,865326,865326,1050,261750,261750,257735,16434,9389730,9389730,0,2100,95928,217444,1630,868,276254,276254,0,1583,448413,519868,181061,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q1,198,2802,2.8781e-05,5.537e-06,3.978e-06,2.0788999999148346e-05,18.933615783,18.933674868,0,0.060481928,3,44,39879,479156,3137349,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,373,373,373,1,2657532,2657532,2657532,0,0,0,0,2,92,92,92,22,5334,5334,0,23,434163,474018,548,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q2,198,2802,3.1212e-05,7.599e-06,6.323e-06,1.8584000000154245e-05,5.280538642,5.28060236,0,0.001565768,3,44,911,16850,30969,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449,449,449,1,2222,2222,2222,0,0,0,0,2,92,92,92,22,9156,9156,0,57,18163,19050,11708,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q3,198,2802,1.8455e-05,5.693e-06,4.47e-06,1.3885999999970454e-05,0.83224905,0.832291554,0,0.001510408,3,44,481,16005,25405,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,525,525,525,1,274,274,274,0,0,0,0,2,92,92,92,22,12835,12835,0,72,11222,11679,8861,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q4,198,2802,1.2691e-05,3.899e-06,3.4079999999999994e-06,2.2450000003627354e-05,20.037371826999998,20.037414275,0,0.003256968,3,44,2075,35040,62185,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,571,571,1,273,273,273,0,0,0,0,2,92,92,92,22,17554,17554,0,110,41668,43695,26737,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q5,198,2802,2.0164e-05,7.002e-06,5.929999999999999e-06,1.467700000009503e-05,0.5629032559999999,0.562951029,0,0.005066568,3,44,3661,56058,112363,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875,875,875,1,161,161,161,0,0,0,0,2,92,92,92,22,24848,24848,0,144,82774,86387,55705,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q6,198,2802,1.2633e-05,3.539e-06,2.9660000000000005e-06,1.6027000000130556e-05,0.6298079059999999,0.629843071,0,0.013732488,3,44,12774,141354,270660,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,960,960,960,1,206,206,206,0,0,0,0,2,92,92,92,22,32278,32278,0,219,224446,237124,128928,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q7,198,2802,1.3999e-05,4.132e-06,1.6915e-05,3.461399999998464e-05,0.497994738,0.49806439799999996,0,0.013061448,3,44,11808,132994,258331,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,885,885,885,1,232,232,232,0,0,0,0,2,92,92,92,22,32410,32410,0,239,213024,224712,125184,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q8,198,2802,1.2588e-05,2.863e-06,2.0790000000000003e-06,1.604100000008546e-05,0.6577201109999999,0.6577536820000001,0,0.009962888,3,44,8634,105447,208981,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,787,787,787,1,273,273,273,0,0,0,0,2,92,92,92,22,33339,33339,0,220,165952,174490,103262,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q9,198,2802,1.1541e-05,3.204e-06,2.317e-06,1.4954999999991503e-05,2.386954551,2.386986568,0,0.013245448,3,44,11427,143781,293610,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081,1081,1081,1,393,393,393,0,0,0,0,2,92,92,92,22,45991,45991,0,249,234698,246053,148967,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
Q10,198,2802,1.0933e-05,2.849e-06,2.2399999999999997e-06,6.459600000015254e-05,3.547117829,3.547198447,0,0.020627528,3,44,18066,215076,467025,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383,1383,1383,1,427,427,427,0,0,0,0,2,92,92,92,22,60228,60228,0,364,386925,404895,250927,5,hops,_by_id_S,topology,relocateOperatorsIfTooMuchDataIsSentEnabled
