x,luposdate,128-128,16-16,16-64,32-32,4-128,4-16,4-32,4-4,4-64,4-8,64-64,8-8
2048,,0.08428571428571428,0.011428571428571429,0.012142857142857143,0.07,0.7221428571428572,0.9114285714285715,0.015714285714285715,0.07571428571428572,0.02642857142857143,0.011428571428571429,0.07571428571428572,0.012142857142857143
4096,,0.017142857142857144,0.011428571428571429,0.9128571428571428,0.027857142857142858,0.027857142857142858,0.023571428571428573,0.055,0.017142857142857144,0.013571428571428571,0.74,0.055714285714285716,0.3407142857142857
8192,,0.017142857142857144,0.012857142857142857,0.013571428571428571,0.07928571428571428,0.03142857142857143,0.9078571428571428,0.011428571428571429,0.010714285714285714,0.020714285714285713,0.9092857142857143,0.014285714285714285,0.08285714285714285
16384,,0.047857142857142855,0.039285714285714285,0.015714285714285715,0.11428571428571428,0.8114285714285714,0.02142857142857143,,0.6707142857142857,0.06,0.04071428571428572,0.019285714285714285,0.13857142857142857
32768,,0.9128571428571428,0.017857142857142856,0.011428571428571429,0.03428571428571429,0.023571428571428573,0.018571428571428572,,0.6921428571428572,0.019285714285714285,0.014285714285714285,,0.10285714285714286
65536,,0.010714285714285714,0.017857142857142856,0.015714285714285715,,,0.025714285714285714,,0.6757142857142857,,0.014285714285714285,,0.87
131072,,,0.02142857142857143,,,,0.016428571428571428,,0.04285714285714286,,0.6735714285714286,,0.5357142857142857
262144,,,0.9064285714285715,,,,0.9128571428571428,,0.04285714285714286,,0.7135714285714285,,0.7078571428571429
