x,luposdate,128-128,16-16,16-64,32-32,4-128,4-16,4-32,4-4,4-64,4-8,64-64,8-8
2048,0.9926470588235294,0.0,0,0.05504587155963303,0.12,0,0.058333333333333334,0,0.036036036036036036,0.0880503144654088,0.0,0.0,0.15
4096,0.9926470588235294,0,0.1206896551724138,0.05825242718446602,0.06349206349206349,0.07865168539325842,0,0.05555555555555555,0.0,0.047058823529411764,0.06451612903225806,0.0,0.037037037037037035
8192,0.9926470588235294,0.022727272727272728,0,,0.027777777777777776,0.09090909090909091,0.06451612903225806,0.051094890510948905,0.19148936170212766,0.06060606060606061,0.024390243902439025,0.08333333333333333,0.024096385542168676
16384,0.9926470588235294,0.07964601769911504,0,0.01639344262295082,0.05154639175257732,0.11864406779661017,0.019230769230769232,,0.02702702702702703,0,0.06060606060606061,0.0379746835443038,0.0
32768,0.9926470588235294,0.027777777777777776,0.0,0.1111111111111111,0.037037037037037035,0.09090909090909091,0.0,,0.06172839506172839,0.034482758620689655,0.08695652173913043,,0.09574468085106383
65536,0.9926470588235294,0.0,0.05357142857142857,0,,,0.05128205128205128,,0.015873015873015872,,0.0,,0.057692307692307696
131072,0.9926470588235294,,0.05714285714285714,,,,0,,0.7022900763358778,,0.07027027027027027,,0.0
262144,0.9926470588235294,,0.05263157894736842,,,,0,,0.6785714285714286,,0.07407407407407407,,0
